id,title,slug,content,published,publishedAt,sentAt,createdAt,updatedAt,authorId
"letter_test_1","Добро пожаловать в мир авторских открыток","dobro-pozhalovat-v-mir-avtorskih-otkrytok","[{""type"":""richText"",""data"":{""html"":""<h2>Дорогие читатели!</h2><p>Рад приветствовать вас в новом разделе нашего сайта — <strong>Letters</strong>. Здесь будут собираться все мои письма, размышления и анонсы новых проектов.</p><p>Сегодня хочу поделиться с вами особенным проектом — коллекцией авторских открыток.</p>""}}]","true","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)",,"Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","cmg3a1nw400009h9arn2nhaae"
"letter_test_2","Процесс создания: от идеи до открытки","process-sozdaniya-ot-idei-do-otkrytki","[{""type"":""richText"",""data"":{""html"":""<h2>За кулисами творчества</h2><p>Многие спрашивают, как рождаются идеи для открыток. Сегодня приоткрою завесу тайны творческого процесса.</p>""}}]","true","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)",,"Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","cmg3a1nw400009h9arn2nhaae"
"letter_test_3","Искусство персонализации","iskusstvo-personalizatsii","[{""type"":""richText"",""data"":{""html"":""<h2>Личное прикосновение к каждой открытке</h2><p>Что превращает обычную открытку в особенную? Персонализация — вот секрет!</p>""}}]","true","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)",,"Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","Mon Oct 13 2025 18:12:01 GMT+0000 (Coordinated Universal Time)","cmg3a1nw400009h9arn2nhaae"
"letter_personal_003","Искусство персонализации","iskusstvo-personalizatsii-delaem-otkrytki-osobennymi","<h2>Личное прикосновение к каждой открытке</h2><p>Что превращает обычную открытку в особенную?</p>","true",,,"Mon Oct 13 2025 18:18:58 GMT+0000 (Coordinated Universal Time)","Mon Oct 13 2025 18:18:58 GMT+0000 (Coordinated Universal Time)","cmg3a1nw400009h9arn2nhaae"
"nc4j8v3g7m2v1ze51c24rzhz","👋 И снова здравствуйте!","i-snova-zdravstvuyte","[{""type"":""richText"",""data"":{""html"":""<p>Итак, после примерно 789 коммитов в GitHub можно смело сказать — мой портал в лучший мир более или менее работает. Это <a target=\""_blank\"" rel=\""noopener noreferrer nofollow\"" href=\""“https://www.merkurov.love/”\"">сайт</a> на ультрасовременных технологиях с возможностями бесконечного развития и сложных интеграций. На это как минимум уже можно смотреть и, как максимум, пользоваться.</p><blockquote><p>Важно:</p><p>Я хочу построить закрытое и уютное пространство, поэтому логично, что все ништяки доступны после авторизации. Сейчас она работает через Google, но в ближайших планах — и все остальные способы, включая крипто-кошельки.</p><p>Последнее оказалось отдельной еблей. Я в итоге хочу остановиться на <a target=\""_blank\"" rel=\""noopener noreferrer nofollow\"" href=\""http://Privy.io\"">Privy.io</a>, но спустя сутки сдался даже ChatGPT 4.1 и сказал: «Всё! Пиши в саппорт — вот описание проблемы».</p></blockquote><p></p>""}},{""type"":""richText"",""data"":{""html"":""<img src=\""https://txvkqcitalfbjytmnawq.supabase.co//storage/v1/object/public/media/IMG_0599.jpeg\""><p></p>""}},{""type"":""richText"",""data"":{""html"":""<p>Помимо результата, который можно лицезреть, потыкав в разные кнопочки и походив по разделам, я в восторге от процесса. Медленно, часто с мучениями, чтением документации и использованием разных моделей — но процесс двигается. Еле отрываю себя на какие-то паузы: у меня, в отличие от железки, ресурс работы ограничен.</p><p>Наконец-то начали более или менее стабильно появляться мои находки с мировых аукционов. Описание делает Claude, обученный на моих текстах. Когда-нибудь — и озвучка будет, и видео. Но это деньги, которых катастрофически нет.</p><p>(Но для этого есть форма поддержки меня через Stripe.)</p><p>Также более или менее функционируют новости, за которые всё так же отвечает Perplexity.</p><p>И то и другое требует тюнинга и будет дорабатываться.</p><p>Главное — начать.</p>""}},{""type"":""richText"",""data"":{""html"":""<img src=\""https://txvkqcitalfbjytmnawq.supabase.co//storage/v1/object/public/media/IMG_0598.jpeg\""><p></p>""}},{""type"":""richText"",""data"":{""html"":""<p>Колонки из «Новой Газеты» всё так же переводятся для публикации на <a target=\""_blank\"" rel=\""noopener noreferrer nofollow\"" href=\""“https://medium.com/@merkurov”\"">Medium</a>. И я всё так же жду от этого хоть какого-то эффекта.</p><p>Какой-то быстрый контент — на <a target=\""_blank\"" rel=\""noopener noreferrer nofollow\"" href=\""“https://bsky.app/profile/merkurov.love”\"">BlueSky</a> — подписывайтесь. Оно же интегрировано на главной странице.</p><p>Дальше — больше, интересней, круче.</p><p>Присоединяйтесь.</p><p>Тот редкий случай, когда я уверен в том, что делаю :)</p><p>А в остальном — сказать особо нечего. Но, может, оно и к лучшему.</p><p>Чмоки, хули!</p><p>😽</p>""}}]","true",,"Sat Oct 11 2025 11:35:20 GMT+0000 (Coordinated Universal Time)","Sat Oct 11 2025 11:33:55 GMT+0000 (Coordinated Universal Time)","Sat Oct 11 2025 11:35:20 GMT+0000 (Coordinated Universal Time)","cmg3a1nw400009h9arn2nhaae"
